공통패턴(3개번호),등장횟수
"(8, 28, 31)",4
"(8, 28, 36)",4
"(8, 28, 40)",4
"(8, 29, 37)",4
"(8, 30, 41)",4
"(8, 31, 43)",4
"(8, 32, 39)",4
"(8, 33, 34)",4
"(8, 33, 38)",4
"(8, 33, 39)",4
"(8, 35, 36)",4
"(8, 36, 42)",4
"(9, 10, 28)",4
"(9, 10, 31)",4
"(9, 10, 36)",4
"(9, 11, 35)",4
"(9, 11, 44)",4
"(9, 12, 13)",4
"(9, 12, 17)",4
"(9, 12, 19)",4
"(9, 13, 31)",4
"(9, 15, 17)",4
"(9, 15, 31)",4
"(9, 17, 18)",4
"(9, 17, 34)",4
"(9, 17, 44)",4
"(9, 18, 20)",4
"(9, 18, 28)",4
"(9, 18, 31)",4
"(9, 18, 38)",4
"(9, 19, 25)",4
"(9, 19, 40)",4
"(9, 20, 34)",4
"(9, 20, 40)",4
"(9, 20, 43)",4
"(9, 21, 37)",4
"(9, 23, 25)",4
"(9, 23, 29)",4
"(9, 25, 43)",4
"(9, 28, 35)",4
"(9, 28, 38)",4
"(9, 29, 38)",4
"(9, 31, 38)",4
"(9, 31, 40)",4
"(9, 31, 42)",4
"(9, 32, 34)",4
"(9, 32, 40)",4
"(9, 33, 45)",4
"(9, 37, 42)",4
"(10, 11, 25)",4
"(10, 12, 30)",4
"(10, 12, 36)",4
"(10, 15, 36)",4
"(10, 16, 19)",4
"(10, 16, 21)",4
"(10, 17, 26)",4
"(10, 17, 38)",4
"(10, 18, 22)",4
"(10, 20, 30)",4
"(10, 21, 35)",4
"(10, 21, 39)",4
"(10, 22, 35)",4
"(10, 26, 30)",4
"(10, 28, 29)",4
"(10, 28, 31)",4
"(10, 30, 38)",4
"(10, 31, 38)",4
"(10, 32, 35)",4
"(10, 35, 39)",4
"(11, 14, 44)",4
"(11, 18, 25)",4
"(11, 18, 32)",4
"(11, 18, 42)",4
"(11, 19, 33)",4
"(11, 21, 28)",4
"(11, 21, 33)",4
"(11, 22, 31)",4
"(11, 25, 34)",4
"(11, 25, 37)",4
"(11, 25, 43)",4
"(11, 26, 42)",4
"(11, 27, 37)",4
"(11, 30, 33)",4
"(11, 31, 41)",4
"(11, 32, 41)",4
"(11, 32, 42)",4
"(11, 33, 40)",4
"(11, 34, 42)",4
"(11, 35, 36)",4
"(11, 35, 38)",4
"(11, 36, 38)",4
"(11, 38, 42)",4
"(11, 41, 42)",4
"(12, 13, 14)",4
"(12, 13, 21)",4
"(12, 13, 34)",4
"(12, 15, 16)",4
"(12, 15, 21)",4
"(12, 15, 33)",4
"(12, 16, 19)",4
"(12, 16, 20)",4
"(12, 17, 38)",4
"(12, 19, 25)",4
"(12, 20, 32)",4
"(12, 20, 43)",4
"(12, 20, 45)",4
"(12, 23, 26)",4
"(12, 24, 33)",4
"(12, 25, 29)",4
"(12, 25, 44)",4
"(12, 26, 40)",4
"(12, 27, 44)",4
"(12, 30, 36)",4
"(12, 30, 42)",4
"(12, 31, 36)",4
"(12, 34, 37)",4
"(12, 35, 44)",4
"(12, 37, 40)",4
"(12, 39, 42)",4
"(12, 40, 42)",4
"(13, 15, 19)",4
"(13, 15, 30)",4
"(13, 15, 32)",4
"(13, 16, 19)",4
"(13, 16, 41)",4
"(13, 17, 31)",4
"(13, 18, 30)",4
"(13, 18, 32)",4
"(13, 19, 31)",4
"(13, 20, 27)",4
"(13, 20, 31)",4
"(13, 20, 34)",4
"(13, 24, 31)",4
"(13, 24, 43)",4
"(13, 25, 41)",4
"(13, 25, 44)",4
"(13, 26, 40)",4
"(13, 27, 37)",4
"(13, 27, 43)",4
"(13, 28, 42)",4
"(13, 29, 44)",4
"(13, 30, 31)",4
"(13, 30, 36)",4
"(13, 30, 45)",4
"(13, 31, 35)",4
"(13, 31, 45)",4
"(13, 32, 44)",4
"(13, 33, 41)",4
"(13, 34, 45)",4
"(14, 15, 40)",4
"(14, 16, 19)",4
"(14, 17, 28)",4
"(14, 17, 44)",4
"(14, 18, 28)",4
"(14, 19, 31)",4
"(14, 19, 42)",4
"(14, 21, 26)",4
"(14, 22, 30)",4
"(14, 23, 37)",4
"(14, 23, 41)",4
"(14, 24, 32)",4
"(14, 26, 35)",4
"(14, 26, 43)",4
"(14, 28, 38)",4
"(14, 28, 42)",4
"(14, 29, 32)",4
"(14, 29, 36)",4
"(14, 29, 39)",4
"(14, 29, 43)",4
"(14, 30, 35)",4
"(14, 31, 35)",4
"(14, 32, 34)",4
"(14, 32, 38)",4
"(14, 32, 41)",4
"(14, 32, 45)",4
"(14, 33, 44)",4
"(14, 37, 45)",4
"(14, 43, 44)",4
"(15, 16, 19)",4
"(15, 16, 31)",4
"(15, 16, 40)",4
"(15, 17, 19)",4
"(15, 17, 40)",4
"(15, 17, 41)",4
"(15, 17, 45)",4
"(15, 19, 32)",4
"(15, 20, 24)",4
"(15, 20, 27)",4
"(15, 20, 33)",4
"(15, 20, 35)",4
"(15, 20, 42)",4
"(15, 21, 28)",4
"(15, 21, 30)",4
"(15, 22, 45)",4
"(15, 24, 45)",4
"(15, 25, 43)",4
"(15, 26, 28)",4
"(15, 30, 40)",4
"(15, 31, 40)",4
"(15, 31, 42)",4
"(15, 31, 44)",4
"(15, 32, 34)",4
"(15, 32, 45)",4
"(15, 33, 34)",4
"(15, 33, 35)",4
"(15, 33, 40)",4
"(15, 34, 40)",4
"(15, 43, 44)",4
"(16, 17, 19)",4
"(16, 17, 40)",4
"(16, 19, 20)",4
"(16, 19, 24)",4
"(16, 19, 26)",4
"(16, 19, 30)",4
"(16, 20, 30)",4
"(16, 20, 33)",4
"(16, 20, 43)",4
"(16, 21, 35)",4
"(16, 21, 37)",4
"(16, 22, 30)",4
"(16, 22, 33)",4
"(16, 26, 30)",4
"(16, 26, 41)",4
"(16, 28, 29)",4
